name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
James Milner;33;Midfielder;1785;England;5;4;11;60;67;62;Liverpool
Max Meyer;24;Midfielder;1414;Germany;1;2;19;51;60;55;Crystal Palace
Phil Jones;27;Defender;1263;England;0;1;16;51;57;64;Manchester United
Simon Francis;34;Defender;1226;England;0;2;23;51;58;62;AFC Bournemouth
Nathaniel Clyne;28;Defender;1254;England;0;1;24;51;57;62;AFC Bournemouth
Vincent Kompany;33;Defender;1223;Belgium;1;0;7;51;57;65;Manchester City
Nicolas Otamendi;31;Defender;1233;Argentina;0;0;7;51;56;65;Manchester City
Juninho Bacuna;22;Midfielder;1414;Netherlands;1;0;36;50;58;52;Huddersfield Town
Andrew Surman;33;Midfielder;1438;England;0;0;35;50;57;52;AFC Bournemouth
Hélder Wander Sousa Azevedo Costa;25;Midfielder;1345;Portugal;1;2;18;50;59;55;Wolverhampton Wanderers
Robert Kenedy Nunes do Nascimento;23;Midfielder;1344;Brazil;1;1;17;50;58;55;Newcastle United
Ross Barkley;25;Midfielder;1241;England;3;5;13;50;64;54;Chelsea
Juan Mata;31;Midfielder;1294;Spain;3;2;14;50;61;55;Manchester United
Matt Targett;24;Defender;1185;England;1;3;24;50;59;61;Southampton
Andre Gray;28;Forward;1358;England;7;2;23;49;65;44;Watford
Javier Hernandez;31;Forward;1335;Mexico;7;1;16;49;64;45;West Ham United
Ki Sung-yueng;30;Midfielder;1302;South Korea;0;1;18;49;57;54;Newcastle United
Bruno Saltor Grau;39;Defender;1136;Spain;0;1;17;49;56;62;Brighton & Hove Albion
Wesley Hoedt;25;Defender;1170;Netherlands;0;0;20;49;55;62;Southampton
Javier Manquillo;25;Defender;1097;Spain;0;3;12;49;58;62;Newcastle United
Aaron Lennon;32;Midfielder;1217;England;1;1;20;48;58;52;Burnley
Tom Smith;27;Defender;1141;England;0;0;34;48;55;59;Huddersfield Town
Oleksandr Zinchenko;22;Midfielder;1153;Ukraine;0;3;4;48;58;55;Manchester City
Dejan Lovren;30;Defender;985;Croatia;1;0;7;47;55;62;Liverpool
Martin Kelly;29;Defender;1110;England;0;0;18;48;55;61;Crystal Palace
Florian Lejeune;28;Defender;1055;France;0;0;12;48;55;62;Newcastle United
Alfie Mawson;25;Defender;1131;England;0;0;25;48;55;60;Fulham
Naby Keïta;24;Midfielder;1392;Guinea;2;1;7;51;59;57;Liverpool
Ryan Guno Babel;32;Forward;1260;Netherlands;5;3;24;47;64;42;Fulham
Shane Long;32;Forward;1269;Republic of Ireland;5;1;20;47;62;43;Southampton
Youri Tielemans;22;Midfielder;1092;Belgium;3;4;13;47;62;52;Leicester City
Xherdan Shaqiri;28;Midfielder;1058;Switzerland;6;3;5;48;64;53;Liverpool
Diogo Dalot;20;Defender;1015;Portugal;0;2;18;47;57;60;Manchester United
Adam Masina;25;Defender;1003;Italy;0;1;19;47;56;60;Watford
Benjamin Mendy;25;Defender;900;France;0;5;6;47;59;61;Manchester City
Romain Saïss;29;Midfielder;1144;Morocco;2;0;16;46;57;52;Wolverhampton Wanderers
Angus Gunn;23;Goalkeeper;1080;England;0;0;17;46;55;56;Southampton
Artur Boruc;39;Goalkeeper;1080;Poland;0;0;17;46;55;56;AFC Bournemouth
Pedro Obiang;27;Midfielder;1121;Equatorial Guinea;0;1;17;46;56;52;West Ham United
Ruben Loftus-Cheek;23;Midfielder;983;England;6;2;8;46;62;52;Chelsea
Jürgen Locadia;25;Forward;1227;Netherlands;2;0;19;45;58;43;Brighton & Hove Albion
Ryan Fredericks;27;Midfielder;1085;England;1;0;13;45;56;52;West Ham United
Kevin De Bruyne;28;Midfielder;974;Belgium;2;2;3;45;58;52;Manchester City
Junior Stanislas;29;Midfielder;1027;England;2;3;24;45;60;49;AFC Bournemouth
Fred;26;Midfielder;1045;Brazil;1;1;19;45;57;50;Manchester United
Juan Foyth;21;Defender;930;Argentina;1;0;10;45;55;60;Tottenham Hotspur
Stephan Lichtsteiner;35;Defender;940;Switzerland;0;0;18;45;54;59;Arsenal
Erik Lamela;27;Midfielder;971;Argentina;4;2;11;45;60;51;Tottenham Hotspur
Ciaran Clark;30;Defender;857;Republic of Ireland;3;0;14;45;57;59;Newcastle United
Yerry Mina;25;Defender;890;Colombia;1;0;12;45;55;59;Everton
Jordan Ayew;28;Forward;1186;Ghana;1;2;13;44;58;43;Crystal Palace
Gonzalo Higuain;31;Forward;1092;Argentina;5;0;15;44;60;42;Chelsea
Gabriel Jesus;22;Forward;1019;Brazil;7;3;11;44;65;41;Manchester City
Nathaniel Mendez-Laing;27;Midfielder;984;England;4;1;15;44;59;50;Cardiff City
Harvey Barnes;21;Midfielder;1007;England;1;2;16;44;58;50;Leicester City
Chris Mepham;21;Defender;849;Wales;0;1;16;44;55;58;AFC Bournemouth
Danilo;28;Defender;806;Brazil;1;0;7;44;55;59;Manchester City
Elias Kachunga;27;Forward;1181;Congo DR;0;0;28;43;55;40;Huddersfield Town
Cenk Tosun;28;Forward;1050;Turkey;3;3;16;43;61;41;Everton
Ainsley Maitland-Niles;22;Midfielder;985;England;1;1;16;43;56;50;Arsenal
Jonjo Shelvey;27;Midfielder;944;England;1;1;11;43;56;50;Newcastle United
Beram Kayal;31;Midfielder;934;Israel;1;1;15;43;56;49;Brighton & Hove Albion
Rob Holding;24;Defender;807;England;0;0;10;43;54;59;Arsenal
